,precision,recall,f1,support
Unripe,0.6331360946745562,0.7181208053691275,0.6729559748427673,149
Ripe,0.5384615384615384,0.525,0.5316455696202531,160
Rotten,0.6713286713286714,0.6037735849056604,0.6357615894039735,159
